business	long	lat	cat
Kings Road Caf_	34.076279	-118.372326	food
Beverly Hills Juice Club	34.075856	-118.372923	drink
Mandarette Chinese Cafe	34.075839	-118.373029	food
west elm	34.075884	-118.372509	retail
Elan Hotel	34.076217	-118.374402	hotel
Vegan Glory	34.07644	-118.373037	food
Hirozen	34.076338	-118.372724	food
Backyard Bowls	34.076340	-118.370391	food
Blue Bottle Coffee	34.076222	-118.370136	drink
Eric Buterbaugh Florals	34.076240	-118.369755	retail
Terrine	34.076247	-118.369526	food
Decor de Paris Textiles & Trims	34.076274	-118.369245	retail
Bao Dim Sum House	34.075881	-118.369881	food
