business	long	lat	cat	img1	img2	img3
Kings Road Cafe	34.076279	-118.372326	food	http://www.stylespotting.com/wp-content/uploads/2011/02/Kings-Road-Crab-Cakes-Benedict.jpg	http://images1.laweekly.com/imager/kings-road-cafe/u/original/4461614/7162917.0.jpg	
Beverly Hills Juice Club	34.075856	-118.372923	drink	http://www.beverlyhillsjuice.com/images/l1016243.jpg	http://images.foodmento.com/U2303P7772F30424-1434001353-238.jpg	https://soniaasu.files.wordpress.com/2014/08/2014-08-08-12-34-52.jpg
Mandarette Chinese Cafe	34.075839	-118.373029	food			
west elm	34.075884	-118.372509	retail	http://stratfordengineers.com/new/wp-content/uploads/2013/11/13.jpg		
Elan Hotel	34.076217	-118.374402	hotel	http://api.ning.com/files/vPDVXyPaNClfL8KT2QZUkEvbngPW6*cDEQ3URv-h4mASAUzAUk6lqtfevNr9KOyKl7CQUCZqA*PrUlpko5uWXUJN5Zwfl2bQ/ElanHotelLosAngelesWestHollywood.jpg?width=547&height=270		
Vegan Glory	34.07644	-118.373037	food	http://www.thedeliciouslife.com/wp-content/uploads/2012/09/vegan-glory-crispy-tacos.jpg	http://greenmenu.org/wp-content/uploads/ca-vegan-glory.jpg	http://storage.tastesavant.com.s3.amazonaws.com/restaurants/Vegan%20Glory/VeganGloryInterior.jpg
Hirozen	34.076338	-118.372724	food			
Backyard Bowls	34.07634	-118.370391	food	http://static1.squarespace.com/static/54ac31a9e4b0a068cecfa752/t/55135b0ce4b0959b10506eba/1427332029825/Backyard_Bowls_Downtown_089.jpg	https://www.theinfatuation.com/wp-content/uploads/2015/07/Backyard-Bowls-Los-Angeles-630x420.jpg	https://cdn1.vox-cdn.com/thumbor/6dSgm8UlhPiTPFR6tSujDK8jHw4=/0x301:3264x2137/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/46239320/byb_LA_exterior.0.0.jpeg
Blue Bottle Coffee	34.076222	-118.370136	drink	https://s-media-cache-ak0.pinimg.com/736x/42/0a/8c/420a8c0b4cc09ff5f2044eba8fd888e6.jpg	https://cdn1.vox-cdn.com/thumbor/W3393deDpFP-KNRuxAk_zQDvaZY=/0x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/3873196/2015-07-13-bluebottle-weho-001.0.jpg	https://s-media-cache-ak0.pinimg.com/736x/05/af/6c/05af6cfb92d6111b0380adcbe8750498.jpg
Eric Buterbaugh Florals	34.07624	-118.369755	retail	https://cdn3.vox-cdn.com/thumbor/RZJQ5WNhdQFN1kCfSxZDPYWchH0=/0x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/3797306/Eric-Buterbaugh-Florals-01_2015_06.0.png	https://cdn1.vox-cdn.com/thumbor/sYsVAXB1izFIws2HjRMT2N010rs=/0x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/3797310/Eric-Buterbaugh-Florals-03_2015_06.0.png	https://cdn2.vox-cdn.com/thumbor/l5sDCQFF3nxPB037mBS0LXOuLos=/0x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/3797308/Eric-Buterbaugh-Florals-04_2015_06.0.png
Terrine	34.076247	-118.369526	food	http://terrinela.com/wp-content/uploads/2014/11/Terrine_Front2015.jpg	http://images2.laweekly.com/imager/u/original/5476439/10373455.0.jpg	http://files.kevineats.com/pics/2015/150116-Terrine/P1270907+P1270901.jpg
Decor de Paris Textiles & Trims	34.076274	-118.369245	retail	http://californiacreativebuilders.com/Portfolio/decor/images/DSC_1605.JPG	http://boston.webstercompany.com/images/vendors1035.jpg	
Bao Dim Sum House	34.075881	-118.369881	food	http://www.thirstyfortea.com/wp-content/uploads/2014/05/char-siu-bao-steamed2.jpg	http://images2.laweekly.com/imager/bao-dim-sum-house/u/745x420/4470293/7165438.0.jpg	http://www.usmenuguide.com/baodimsumhouselosangeles.jpg
